Volcano Name,Max. VEI,Country,Volcanic_Region,Volcano_type,Summit,Year,Latitude_value,Longitude_value
31,1,16,7,1,2334.0,2017,-5.05,151.33
63,1,13,12,1,1535.0,2017,12.769,124.056
50,1,1,1,5,2885.0,2017,-0.38,100.474
17,3,10,10,1,1513.0,2017,54.049,159.443
15,1,9,8,1,2953.0,2017,-37.856,-71.183
21,2,8,3,5,1916.0,2017,10.83,-85.324
53,1,1,1,5,2565.0,2017,-7.2,109.879
26,2,6,6,3,25.0,2017,27.247,140.874
39,1,8,3,1,2697.0,2017,10.2,-84.233
64,0,23,14,1,2962.0,2017,-2.764,35.914
65,0,24,2,4,-185.0,2017,12.3,-61.64
66,1,6,6,3,1117.0,2017,31.593,130.657
67,3,10,10,1,2116.0,2017,51.306,156.875
49,1,1,1,3,155.0,2017,-6.102,105.423
3,1,3,3,1,1745.0,2017,12.702,-87.004
6,0,5,5,2,2632.0,2017,-21.244,55.708
68,0,15,13,4,-296.0,2017,-20.852,-175.55
44,2,20,1,1,354.0,2017,12.278,93.858
20,1,11,3,1,2130.0,2017,13.434,-88.269
69,3,4,9,4,150.0,2016,53.93,-168.03
70,3,10,11,1,724.0,2016,48.98,153.48
52,0,21,14,2,3058.0,2016,-1.408,29.2
71,2,10,10,6,2899.0,2016,53.589,159.15
51,1,1,1,1,3800.0,2016,-1.697,101.264
72,3,17,8,1,5960.0,2016,-15.787,-71.857
73,2,10,11,1,1103.0,2016,50.686,156.014
31,1,16,7,1,2334.0,2016,-5.05,151.33
36,3,6,6,3,1592.0,2016,32.884,131.104
17,2,10,10,1,1513.0,2016,54.049,159.443
24,1,14,13,1,294.0,2016,-37.52,177.18
32,2,17,8,1,5672.0,2016,-16.355,-70.903
6,0,5,5,2,2632.0,2016,-21.244,55.708
43,1,1,1,1,1715.0,2016,0.8,127.33
74,2,1,1,1,3726.0,2016,-8.42,116.47
75,2,10,11,1,1781.0,2016,50.324,155.461
20,1,11,3,1,2130.0,2016,13.434,-88.269
63,2,13,12,1,1535.0,2016,12.769,124.056
39,1,8,3,1,2697.0,2016,10.2,-84.233
6,0,5,5,2,2632.0,2016,-21.244,55.708
24,1,14,13,1,294.0,2016,-37.52,177.18
76,1,25,15,1,1100.0,2016,-59.017,-26.533
3,2,3,3,1,1745.0,2016,12.702,-87.004
16,2,4,9,1,1730.0,2016,52.825,-169.944
51,2,1,1,1,3800.0,2016,-1.697,101.264
77,1,25,15,1,551.0,2016,-56.3,-27.57
75,2,10,11,1,1781.0,2016,50.324,155.461
78,2,4,9,1,2493.0,2016,55.417,-161.894
38,2,12,8,1,5286.0,2016,-2.005,-78.341
63,2,13,12,1,1535.0,2016,12.769,124.056
20,1,11,3,1,2130.0,2016,13.434,-88.269
79,2,19,8,1,3180.0,2016,-36.868,-71.378
18,3,1,1,1,1785.0,2016,1.112,124.737
80,2,3,3,1,1270.0,2015,12.423,-86.539
58,2,13,12,1,2435.0,2015,10.412,123.132
50,1,1,1,5,2885.0,2015,-0.38,100.474
4,2,1,1,1,2329.0,2015,-7.942,112.95
81,2,19,8,1,5592.0,2015,-23.37,-67.73
74,2,1,1,1,3726.0,2015,-8.42,116.47
82,2,16,7,5,1330.0,2015,-5.525,148.42
83,1,3,3,3,594.0,2015,11.985,-86.165
84,0,15,13,3,515.0,2015,-19.75,-175.07
46,1,10,11,1,2285.0,2015,50.861,155.565
12,2,3,3,1,1036.0,2015,12.606,-86.84
15,2,9,8,1,2953.0,2015,-37.856,-71.183
85,1,1,1,1,1580.0,2015,1.358,124.792
37,3,10,10,1,4754.0,2015,56.056,160.642
86,2,12,8,1,5911.0,2015,-0.677,-78.436
20,1,11,3,1,2130.0,2015,13.434,-88.269
65,0,24,2,4,-185.0,2015,12.3,-61.64
43,2,1,1,1,1715.0,2015,0.8,127.33
87,1,1,1,5,862.0,2015,-8.508,124.13
88,1,6,6,5,1438.0,2015,35.233,139.021
72,1,17,8,1,5960.0,2015,-15.787,-71.857
64,0,23,14,1,2962.0,2015,-2.764,35.914
28,1,6,6,5,2568.0,2015,36.406,138.523
21,1,8,3,5,1916.0,2015,10.83,-85.324
89,1,26,3,5,2569.0,2015,14.382,-90.601
10,3,6,6,1,657.0,2015,30.443,130.217
90,4,12,8,2,1710.0,2015,0.02,-91.35
85,1,1,1,1,1580.0,2015,1.358,124.792
12,2,3,3,1,1036.0,2015,12.606,-86.84
63,2,13,12,1,1535.0,2015,12.769,124.056
91,0,27,4,4,-1410.0,2015,45.95,-130.0
92,4,19,8,1,1974.0,2015,-41.33,-72.618
14,2,8,3,1,3340.0,2015,10.025,-83.767
3,2,3,3,1,1745.0,2015,12.702,-87.004
75,3,10,11,1,1781.0,2015,50.324,155.461
6,0,5,5,2,2632.0,2015,-21.244,55.708
20,1,11,3,1,2130.0,2015,13.434,-88.269
38,2,12,8,1,5286.0,2015,-2.005,-78.341
18,3,1,1,1,1785.0,2015,1.112,124.737
37,2,10,10,1,4754.0,2015,56.056,160.642
93,2,15,13,4,114.0,2014,-20.536,-175.382
43,2,1,1,1,1715.0,2014,0.8,127.33
94,1,19,8,1,2847.0,2014,-39.42,-71.93
13,3,1,1,1,3260.0,2014,-8.119,114.056
95,3,28,16,1,2829.0,2014,14.95,-24.35
70,2,10,11,1,724.0,2014,48.98,153.48
96,2,29,8,1,5279.0,2014,4.892,-75.324
97,1,25,15,1,843.0,2014,-57.8,-26.483
78,1,4,9,1,2493.0,2014,55.417,-161.894
14,2,8,3,1,3340.0,2014,10.025,-83.767
98,3,6,6,5,3067.0,2014,35.893,137.48
21,1,8,3,5,1916.0,2014,10.83,-85.324
36,2,6,6,3,1592.0,2014,32.884,131.104
99,0,30,17,1,2000.0,2014,64.633,-17.516
89,1,26,3,5,2569.0,2014,14.382,-90.601
56,0,13,12,1,2462.0,2014,13.257,123.685
10,1,6,6,1,657.0,2014,30.443,130.217
3,2,3,3,1,1745.0,2014,12.702,-87.004
100,3,16,7,7,688.0,2014,-4.271,152.203
15,1,9,8,1,2953.0,2014,-37.856,-71.183
101,2,16,7,1,1807.0,2014,-4.08,145.037
6,0,5,5,2,2632.0,2014,-21.244,55.708
41,2,1,1,1,1797.0,2014,2.781,125.407
71,3,10,10,6,2899.0,2014,53.589,159.15
78,3,4,9,1,2493.0,2014,55.417,-161.894
62,3,1,1,5,1912.0,2014,-8.2,119.07
52,0,21,14,2,3058.0,2014,-1.408,29.2
102,0,4,6,4,-75.0,2014,20.42,145.03
103,3,1,1,1,3657.0,2014,-8.108,112.922
49,1,1,1,3,155.0,2014,-6.102,105.423
104,1,16,7,1,1839.0,2014,-4.649,145.964
1,3,1,1,1,2910.0,2014,-7.54,110.446
105,2,1,1,1,3428.0,2014,-7.242,109.208
106,4,1,1,1,1730.0,2014,-7.935,112.314
41,1,1,1,1,1797.0,2014,2.781,125.407
3,1,3,3,1,1745.0,2014,12.702,-87.004
50,1,1,1,5,2885.0,2014,-0.38,100.474
9,1,7,7,4,-20.0,2014,-8.991,157.979
30,1,4,9,1,2857.0,2014,54.756,-163.97
36,1,6,6,3,1592.0,2014,32.884,131.104
20,2,11,3,1,2130.0,2013,13.434,-88.269
26,2,6,6,3,25.0,2013,27.247,140.874
1,2,1,1,1,2910.0,2013,-7.54,110.446
71,3,10,10,6,2899.0,2013,53.589,159.15
44,2,20,1,1,354.0,2013,12.278,93.858
29,1,1,1,1,2084.0,2013,-6.77,107.6
107,2,31,14,2,191.0,2013,15.05,42.18
12,1,3,3,1,1036.0,2013,12.606,-86.84
11,4,1,1,1,2460.0,2013,3.17,98.392
108,2,32,18,1,3320.0,2013,37.748,14.999
32,2,17,8,1,5672.0,2013,-16.355,-70.903
109,0,1,1,5,583.0,2013,-8.532,123.573
37,1,10,10,1,4754.0,2013,56.056,160.642
94,1,19,8,1,2847.0,2013,-39.42,-71.93
31,1,16,7,1,2334.0,2013,-5.05,151.33
13,1,1,1,1,3260.0,2013,-8.119,114.056
45,3,4,9,1,2507.0,2013,56.17,-159.38
70,1,10,11,1,724.0,2013,48.98,153.48
3,1,3,3,1,1745.0,2013,12.702,-87.004
103,1,1,1,1,3657.0,2013,-8.108,112.922
8,1,6,6,3,704.0,2013,30.793,130.305
51,2,1,1,1,3800.0,2013,-1.697,101.264
14,2,8,3,1,3340.0,2013,10.025,-83.767
78,3,4,9,1,2493.0,2013,55.417,-161.894
56,2,13,12,1,2462.0,2013,13.257,123.685
81,1,19,8,1,5592.0,2013,-23.37,-67.73
89,2,26,3,5,2569.0,2013,14.382,-90.601
29,2,1,1,1,2084.0,2013,-6.77,107.6
44,1,20,1,1,354.0,2013,12.278,93.858
110,2,33,11,5,1158.0,2013,45.012,147.871
111,0,4,6,4,-4100.0,2013,15.406,144.506
104,3,16,7,1,1839.0,2013,-4.649,145.964
38,2,12,8,1,5286.0,2013,-2.005,-78.341
100,2,16,7,7,688.0,2013,-4.271,152.203
35,2,18,3,1,3850.0,2013,19.514,-103.62
3,2,3,3,1,1745.0,2012,12.702,-87.004
15,2,9,8,1,2953.0,2012,-37.856,-71.183
82,1,16,7,5,1330.0,2012,-5.525,148.42
112,4,10,10,2,3611.0,2012,55.832,160.326
113,2,14,13,1,1978.0,2012,-39.157,175.632
114,0,10,11,3,742.0,2012,46.532,150.871
31,1,16,7,1,2334.0,2012,-5.05,151.33
115,2,4,6,1,570.0,2012,18.13,145.8
21,1,8,3,5,1916.0,2012,10.83,-85.324
