,Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit,Year
1,Ambae,Confirmed Eruption,0,Vanuatu,Melanesia and Australia,Shield,15.389°S,167.835°E,1496,2021
2,Pinatubo,Confirmed Eruption,0,Philippines,Philippines and SE Asia,Stratovolcano,15.13°N,120.35°E,1486,2021
3,Iliwerung,Confirmed Eruption,0,Indonesia,Indonesia,Complex,8.532°S,123.573°E,583,2021
4,Taal,Confirmed Eruption,0,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311,2021
5,Turrialba,Confirmed Eruption,0,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340,2021
6,Asosan,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,2021
7,Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20,2021
8,Kilauea,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222,2021
9,La Palma,Confirmed Eruption,0,Spain,Atlantic Ocean,Stratovolcano,28.57°N,17.83°W,2426,2021
10,Nishinoshima,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25,2021
11,Fukutoku-Oka-no-Ba,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Submarine,24.285°N,141.481°E,-29,2021
12,Chirinkotan,Confirmed Eruption,0,Russia,Kuril Islands,Stratovolcano,48.98°N,153.48°E,724,2021
13,Pavlof,Confirmed Eruption,0,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493,2021
14,Pagan,Confirmed Eruption,0,United States,"Japan, Taiwan, Marianas",Stratovolcano,18.13°N,145.8°E,570,2021
15,Sirung,Confirmed Eruption,0,Indonesia,Indonesia,Complex,8.508°S,124.13°E,862,2021
16,Ulawun,Confirmed Eruption,0,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334,2021
17,Copahue,Confirmed Eruption,0,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953,2021
18,Taal,Confirmed Eruption,0,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311,2021
19,Rincon de la Vieja,Confirmed Eruption,0,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916,2021
20,Turrialba,Confirmed Eruption,0,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340,2021
21,Krakatau,Confirmed Eruption,0,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,2021
22,Great Sitkin,Confirmed Eruption,0,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740,2021
23,Dieng Volcanic Complex,Confirmed Eruption,0,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565,2021
24,Telica,Confirmed Eruption,0,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,2021
25,Tengger Caldera,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,7.942°S,112.95°E,2329,2021
26,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2021
27,Krysuvik-Trolladyngja,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Crater rows,63.917°N,22.067°W,360,2021
28,Veniaminof,Confirmed Eruption,0,United States,Alaska,Stratovolcano,56.17°N,159.38°W,2507,2021
29,Semisopochnoi,Confirmed Eruption,0,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221,2021
30,Raung,Confirmed Eruption,0,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260,2021
31,Merapi,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910,2020
32,Soufriere St. Vincent,Confirmed Eruption,4,Saint Vincent and the Grenadines,West Indies,Stratovolcano,13.33°N,61.18°W,1220,2020
33,San Cristobal,Confirmed Eruption,3,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745,2020
34,Tengger Caldera,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,7.942°S,112.95°E,2329,2020
35,Kilauea,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222,2020
36,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2020
37,Lewotolok,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.274°S,123.508°E,1431,2020
38,Kikai,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704,2020
39,Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20,2020
40,Kuchinoerabujima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,30.443°N,130.217°E,657,2020
41,Sinabung,Confirmed Eruption,3,Indonesia,Indonesia,Stratovolcano,3.17°N,98.392°E,2460,2020
42,Telica,Confirmed Eruption,1,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,2020
43,Raung,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260,2020
44,Turrialba,Confirmed Eruption,1,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340,2020
45,Copahue,Confirmed Eruption,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953,2020
46,Cleveland,Confirmed Eruption,3,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730,2020
47,Kikai,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704,2020
48,Karymsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,2020
49,Soputan,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785,2020
50,Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20,2020
51,Sarychev Peak,Confirmed Eruption,1,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496,2020
52,San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130,2020
53,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2020
54,Rincon de la Vieja,Confirmed Eruption,2,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916,2020
55,Fernandina,Confirmed Eruption,0,Ecuador,South America,Shield,0.37°S,91.55°W,1476,2020
56,Taal,Confirmed Eruption,4,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311,2020
57,Kuchinoerabujima,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano,30.443°N,130.217°E,657,2020
58,Whakaari/White Island,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,Stratovolcano,37.52°S,177.18°E,294,2019
59,Semisopochnoi,Confirmed Eruption,1,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221,2019
60,Nishinoshima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25,2019
61,Cleveland,Uncertain Eruption,0,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730,2019
62,Kikai,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704,2019
63,Lateiki,Confirmed Eruption,1,Tonga,New Zealand to Fiji,Submarine,19.18°S,174.87°W,43,2019
64,Asamayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,2019
65,Copahue,Confirmed Eruption,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953,2019
66,Tangkuban Parahu,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,6.77°S,107.6°E,2084,2019
67,Shishaldin,Confirmed Eruption,3,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857,2019
68,Semisopochnoi,Confirmed Eruption,1,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221,2019
69,Ulawun,Confirmed Eruption,4,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334,2019
70,Ubinas,Confirmed Eruption,2,Peru,South America,Stratovolcano,16.355°S,70.903°W,5672,2019
71,Raikoke,Confirmed Eruption,3,Russia,Kuril Islands,Stratovolcano,48.292°N,153.25°E,551,2019
72,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2019
73,Great Sitkin,Confirmed Eruption,1,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740,2019
74,Sarychev Peak,Confirmed Eruption,2,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496,2019
75,Colima,Confirmed Eruption,1,Mexico,México and Central America,Stratovolcano,19.514°N,103.62°W,3850,2019
76,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,2019
77,Klyuchevskoy,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754,2019
78,Sangay,Confirmed Eruption,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286,2019
79,San Cristobal,Confirmed Eruption,1,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745,2019
80,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2019
81,Tengger Caldera,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,7.942°S,112.95°E,2329,2019
82,Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,2019
83,Poas,Confirmed Eruption,2,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697,2019
84,Sinabung,Confirmed Eruption,4,Indonesia,Indonesia,Stratovolcano,3.17°N,98.392°E,2460,2019
85,Tinakula,Confirmed Eruption,2,Solomon Islands,Melanesia and Australia,Stratovolcano,10.386°S,165.804°E,796,2018
86,Karangetang,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797,2018
87,Planchon-Peteroa,Confirmed Eruption,1,Chile,South America,Stratovolcano,35.223°S,70.568°W,3977,2018
88,Kuchinoerabujima,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano,30.443°N,130.217°E,657,2018
89,Gamalama,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,0.8°N,127.33°E,1715,2018
90,Soputan,Confirmed Eruption,3,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785,2018
91,Barren Island,Confirmed Eruption,1,India,Indonesia,Stratovolcano,12.278°N,93.858°E,354,2018
92,Ulawun,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334,2018
93,Ketoi,Uncertain Eruption,1,Russia,Kuril Islands,Stratovolcano,47.35°N,152.475°E,1172,2018
94,Sarychev Peak,Confirmed Eruption,2,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496,2018
95,Semisopochnoi,Confirmed Eruption,1,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221,2018
96,Veniaminof,Confirmed Eruption,1,United States,Alaska,Stratovolcano,56.17°N,159.38°W,2507,2018
97,Alaid,Confirmed Eruption,1,Russia,Kuril Islands,Stratovolcano,50.861°N,155.565°E,2285,2018
98,Sangay,Confirmed Eruption,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286,2018
99,Rincon de la Vieja,Confirmed Eruption,1,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916,2018
100,Nishinoshima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25,2018
101,Mayotte,Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,12.83°S,45.17°E,660,2018
102,"Negra, Sierra",Confirmed Eruption,2,Ecuador,South America,Shield,0.83°S,91.17°W,1124,2018
103,Telica,Confirmed Eruption,1,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,2018
104,Krakatau,Confirmed Eruption,3,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,2018
105,Fernandina,Confirmed Eruption,1,Ecuador,South America,Shield,0.37°S,91.55°W,1476,2018
106,Great Sitkin,Confirmed Eruption,1,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740,2018
107,Ulawun,Confirmed Eruption,1,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334,2018
108,Merapi,Confirmed Eruption,3,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910,2018
109,Karymsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,2018
110,Marapi,Confirmed Eruption,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885,2018
111,San Cristobal,Confirmed Eruption,1,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745,2018
112,Kerinci,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800,2018
113,Nyamulagira,Confirmed Eruption,0,DR Congo,Africa and Red Sea,Shield,1.408°S,29.2°E,3058,2018
114,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2018
115,Dieng Volcanic Complex,Confirmed Eruption,1,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565,2018
116,Kirishimayama,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,2018
117,Sangay,Confirmed Eruption,1,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286,2018
118,Karangetang,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797,2018
119,Kusatsu-Shiranesan,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,36.618°N,138.528°E,2165,2018
120,San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130,2018
121,Mayon,Confirmed Eruption,2,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462,2018
122,Kadovar,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,3.608°S,144.588°E,365,2018
123,Kanlaon,Confirmed Eruption,2,Philippines,Philippines and SE Asia,Stratovolcano,10.412°N,123.132°E,2435,2017
124,Agung,Confirmed Eruption,3,Indonesia,Indonesia,Stratovolcano,8.343°S,115.508°E,2997,2017
125,Dempo,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,4.016°S,103.121°E,3142,2017
126,Tinakula,Confirmed Eruption,3,Solomon Islands,Melanesia and Australia,Stratovolcano,10.386°S,165.804°E,796,2017
127,Sarychev Peak,Confirmed Eruption,2,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496,2017
128,Kirishimayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700,2017
129,Ambae,Confirmed Eruption,3,Vanuatu,Melanesia and Australia,Shield,15.389°S,167.835°E,1496,2017
130,Fernandina,Confirmed Eruption,2,Ecuador,South America,Shield,0.37°S,91.55°W,1476,2017
131,San Cristobal,Confirmed Eruption,3,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745,2017
132,Kerinci,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800,2017
133,Sangay,Confirmed Eruption,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286,2017
134,Sangeang Api,Confirmed Eruption,2,Indonesia,Indonesia,Complex,8.2°S,119.07°E,1912,2017
135,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2017
136,Ulawun,Confirmed Eruption,1,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334,2017
137,Bulusan,Confirmed Eruption,1,Philippines,Philippines and SE Asia,Stratovolcano,12.769°N,124.056°E,1535,2017
138,Marapi,Confirmed Eruption,1,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885,2017
139,Karymsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,2017
140,Copahue,Confirmed Eruption,1,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953,2017
141,Rincon de la Vieja,Confirmed Eruption,2,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916,2017
142,Karangetang,Uncertain Eruption,0,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797,2017
143,Dieng Volcanic Complex,Confirmed Eruption,1,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565,2017
144,Nishinoshima,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25,2017
145,Poas,Confirmed Eruption,1,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697,2017
146,"Lengai, Ol Doinyo",Confirmed Eruption,0,Tanzania,Africa and Red Sea,Stratovolcano,2.764°S,35.914°E,2962,2017
147,Kick 'em Jenny,Confirmed Eruption,0,Grenada,West Indies,Submarine,12.3°N,61.64°W,-185,2017
148,Aira,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Caldera,31.593°N,130.657°E,1117,2017
149,Kambalny,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,51.306°N,156.875°E,2116,2017
150,Ebulobo,Uncertain Eruption,0,Indonesia,Indonesia,Stratovolcano,8.817°S,121.191°E,2096,2017
151,Krakatau,Confirmed Eruption,1,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155,2017
152,San Cristobal,Confirmed Eruption,1,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745,2017
153,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2017
154,Unnamed,Confirmed Eruption,0,Tonga,New Zealand to Fiji,Submarine,20.852°S,175.55°W,-296,2017
155,Barren Island,Confirmed Eruption,2,India,Indonesia,Stratovolcano,12.278°N,93.858°E,354,2017
156,San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130,2017
157,Bogoslof,Confirmed Eruption,3,United States,Alaska,Submarine,53.93°N,168.03°W,150,2016
158,Chirinkotan,Confirmed Eruption,3,Russia,Kuril Islands,Stratovolcano,48.98°N,153.48°E,724,2016
159,Nyamulagira,Confirmed Eruption,0,DR Congo,Africa and Red Sea,Shield,1.408°S,29.2°E,3058,2016
160,Zhupanovsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Compound,53.589°N,159.15°E,2899,2016
161,Kerinci,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800,2016
162,Sabancaya,Confirmed Eruption,3,Peru,South America,Stratovolcano,15.787°S,71.857°W,5960,2016
163,Ebeko,Confirmed Eruption,2,Russia,Kuril Islands,Stratovolcano,50.686°N,156.014°E,1103,2016
164,Ulawun,Confirmed Eruption,1,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334,2016
165,Asosan,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,2016
166,Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513,2016
167,"Lengai, Ol Doinyo",Confirmed Eruption,0,Tanzania,Africa and Red Sea,Stratovolcano,2.764°S,35.914°E,2962,2016
168,Whakaari/White Island,Confirmed Eruption,1,New Zealand,New Zealand to Fiji,Stratovolcano,37.52°S,177.18°E,294,2016
169,Ubinas,Confirmed Eruption,2,Peru,South America,Stratovolcano,16.355°S,70.903°W,5672,2016
170,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2016
171,Gamalama,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,0.8°N,127.33°E,1715,2016
172,Rinjani,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.42°S,116.47°E,3726,2016
173,Chikurachki,Confirmed Eruption,2,Russia,Kuril Islands,Stratovolcano,50.324°N,155.461°E,1781,2016
174,San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130,2016
175,Bulusan,Confirmed Eruption,2,Philippines,Philippines and SE Asia,Stratovolcano,12.769°N,124.056°E,1535,2016
176,Poas,Confirmed Eruption,1,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697,2016
177,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2016
178,Whakaari/White Island,Confirmed Eruption,1,New Zealand,New Zealand to Fiji,Stratovolcano,37.52°S,177.18°E,294,2016
179,Bristol Island,Confirmed Eruption,1,United Kingdom,Antarctica,Stratovolcano,59.017°S,26.533°W,1100,2016
180,San Cristobal,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745,2016
181,Cleveland,Confirmed Eruption,2,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730,2016
182,Kerinci,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800,2016
183,Zavodovski,Confirmed Eruption,1,United Kingdom,Antarctica,Stratovolcano,56.3°S,27.57°W,551,2016
184,Chikurachki,Confirmed Eruption,2,Russia,Kuril Islands,Stratovolcano,50.324°N,155.461°E,1781,2016
185,Pavlof,Confirmed Eruption,2,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493,2016
186,Sangay,Confirmed Eruption,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286,2016
187,Bulusan,Confirmed Eruption,2,Philippines,Philippines and SE Asia,Stratovolcano,12.769°N,124.056°E,1535,2016
188,San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130,2016
189,"Chillan, Nevados de",Confirmed Eruption,2,Chile,South America,Stratovolcano,36.868°S,71.378°W,3180,2016
190,Soputan,Confirmed Eruption,3,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785,2016
191,Momotombo,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.423°N,86.539°W,1270,2015
192,Kanlaon,Confirmed Eruption,2,Philippines,Philippines and SE Asia,Stratovolcano,10.412°N,123.132°E,2435,2015
193,Marapi,Confirmed Eruption,1,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885,2015
194,Tengger Caldera,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,7.942°S,112.95°E,2329,2015
195,Lascar,Confirmed Eruption,2,Chile,South America,Stratovolcano,23.37°S,67.73°W,5592,2015
196,Rinjani,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,8.42°S,116.47°E,3726,2015
197,Langila,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,Complex,5.525°S,148.42°E,1330,2015
198,Masaya,Confirmed Eruption,1,Nicaragua,México and Central America,Caldera,11.985°N,86.165°W,594,2015
199,Tofua,Confirmed Eruption,0,Tonga,New Zealand to Fiji,Caldera,19.75°S,175.07°W,515,2015
200,Alaid,Confirmed Eruption,1,Russia,Kuril Islands,Stratovolcano,50.861°N,155.565°E,2285,2015
201,Telica,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,2015
202,Copahue,Confirmed Eruption,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953,2015
203,Lokon-Empung,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,1.358°N,124.792°E,1580,2015
204,Klyuchevskoy,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754,2015
205,Cotopaxi,Confirmed Eruption,2,Ecuador,South America,Stratovolcano,0.677°S,78.436°W,5911,2015
206,San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130,2015
207,Kick 'em Jenny,Confirmed Eruption,0,Grenada,West Indies,Submarine,12.3°N,61.64°W,-185,2015
208,Gamalama,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,0.8°N,127.33°E,1715,2015
209,Sirung,Confirmed Eruption,1,Indonesia,Indonesia,Complex,8.508°S,124.13°E,862,2015
210,Hakoneyama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Complex,35.233°N,139.021°E,1438,2015
211,Sabancaya,Confirmed Eruption,1,Peru,South America,Stratovolcano,15.787°S,71.857°W,5960,2015
212,Ciremai,Uncertain Eruption,0,Indonesia,Indonesia,Stratovolcano,6.895°S,108.408°E,3039,2015
213,"Lengai, Ol Doinyo",Confirmed Eruption,0,Tanzania,Africa and Red Sea,Stratovolcano,2.764°S,35.914°E,2962,2015
214,Asamayama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568,2015
215,Rincon de la Vieja,Confirmed Eruption,1,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916,2015
216,Pacaya,Confirmed Eruption,1,Guatemala,México and Central America,Complex,14.382°N,90.601°W,2569,2015
217,Kuchinoerabujima,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano,30.443°N,130.217°E,657,2015
218,Wolf,Confirmed Eruption,4,Ecuador,South America,Shield,0.02°N,91.35°W,1710,2015
219,Lokon-Empung,Confirmed Eruption,1,Indonesia,Indonesia,Stratovolcano,1.358°N,124.792°E,1580,2015
220,Telica,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.606°N,86.84°W,1036,2015
221,Bulusan,Confirmed Eruption,2,Philippines,Philippines and SE Asia,Stratovolcano,12.769°N,124.056°E,1535,2015
222,Axial Seamount,Confirmed Eruption,0,Undersea Features,Hawaii and Pacific Ocean,Submarine,45.95°N,130°W,-1410,2015
223,Calbuco,Confirmed Eruption,4,Chile,South America,Stratovolcano,41.33°S,72.618°W,1974,2015
224,Turrialba,Confirmed Eruption,2,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340,2015
225,San Cristobal,Confirmed Eruption,2,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745,2015
226,Chikurachki,Confirmed Eruption,3,Russia,Kuril Islands,Stratovolcano,50.324°N,155.461°E,1781,2015
227,"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632,2015
228,San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130,2015
229,Sangay,Confirmed Eruption,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286,2015
230,Soputan,Confirmed Eruption,3,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785,2015
231,Klyuchevskoy,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754,2015
232,Hunga Tonga-Hunga Ha'apai,Confirmed Eruption,2,Tonga,New Zealand to Fiji,Submarine,20.536°S,175.382°W,114,2014
233,Gamalama,Confirmed Eruption,2,Indonesia,Indonesia,Stratovolcano,0.8°N,127.33°E,1715,2014
