,Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit,Year
7893,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1271
7894,Vesuvius,Uncertain Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,40.821°N,14.426°E,1281,1270
7895,Jocotitlan,Confirmed Eruption,0,Mexico,México and Central America,Stratovolcano,19.73°N,99.758°W,3900,1270
7896,Yakedake,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,36.227°N,137.587°E,2455,1270
7897,Bardarbunga,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Stratovolcano,64.633°N,17.516°W,2000,1270
7898,Grimsvotn,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,Caldera,64.416°N,17.316°W,1719,1270
7899,Cayambe,Confirmed Eruption,0,Ecuador,South America,Compound,0.029°N,77.986°W,5790,1270
7900,"Plat Pays, Morne",Confirmed Eruption,0,Dominica,West Indies,Stratovolcano,15.255°N,61.341°W,940,1270
7901,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1269
7903,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1265
7904,Katla,Confirmed Eruption,5,Iceland,Iceland and Arctic Ocean,Subglacial,63.633°N,19.083°W,1490,1262
7905,Pelee,Confirmed Eruption,0,France,West Indies,Stratovolcano,14.809°N,61.165°W,1394,1260
7906,Cotopaxi,Confirmed Eruption,0,Ecuador,South America,Stratovolcano,0.677°S,78.436°W,5911,1260
7907,"Orizaba, Pico de",Confirmed Eruption,3,Mexico,México and Central America,Stratovolcano,19.03°N,97.27°W,5564,1260
7908,Mammoth Mountain,Confirmed Eruption,0,United States,Canada and Western USA,Lava dome,37.631°N,119.032°W,3369,1260
7909,Axial Seamount,Confirmed Eruption,0,Undersea Features,Hawaii and Pacific Ocean,Submarine,45.95°N,130°W,-1410,1260
7911,Rinjani,Confirmed Eruption,7,Indonesia,Indonesia,Stratovolcano,8.42°S,116.47°E,3726,1257
7912,"Rahat, Harrat",Confirmed Eruption,3,Saudi Arabia,Middle East and Indian Ocean,Volcanic field,23.08°N,39.78°E,1744,1256
7913,"Sawad, Harra Es-",Confirmed Eruption,3,Yemen,Middle East and Indian Ocean,Volcanic field,13.58°N,46.12°E,1737,1253
7914,Akagisan,Uncertain Eruption,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano,36.56°N,139.193°E,1828,1251
7915,Akan,Confirmed Eruption,0,Japan,"Japan, Taiwan, Marianas",Caldera,43.384°N,144.013°E,1499,1250
7916,Tokachidake,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano,43.418°N,142.686°E,2077,1250
7917,Shasta,Confirmed Eruption,0,United States,Canada and Western USA,Stratovolcano,41.409°N,122.193°W,4317,1250
7918,Gorny Institute,Confirmed Eruption,0,Russia,Kamchatka and Mainland Asia,Stratovolcano,57.33°N,160.2°E,2125,1250
7919,Rungwe,Confirmed Eruption,0,Tanzania,Africa and Red Sea,Stratovolcano,9.135°S,33.668°E,2953,1250
7920,Fentale,Confirmed Eruption,0,Ethiopia,Africa and Red Sea,Stratovolcano,8.975°N,39.93°E,2007,1250
7921,Etna,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,Stratovolcano,37.748°N,14.999°E,3320,1250
7922,Bardarbunga,Confirmed Eruption,1,Iceland,Iceland and Arctic Ocean,Stratovolcano,64.633°N,17.516°W,2000,1250
7923,Tungurahua,Confirmed Eruption,0,Ecuador,South America,Stratovolcano,1.467°S,78.442°W,5023,1250
7924,"Azul, Cerro",Confirmed Eruption,0,Ecuador,South America,Shield,0.92°S,91.408°W,1640,1250
7925,Fuss Peak,Confirmed Eruption,3,Russia,Kuril Islands,Stratovolcano,50.267°N,155.246°E,1742,1250
7926,Izu-Oshima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano,34.724°N,139.394°E,746,1245
7927,Katla,Confirmed Eruption,4,Iceland,Iceland and Arctic Ocean,Subglacial,63.633°N,19.083°W,1490,1245
7928,Sollipulli,Confirmed Eruption,0,Chile,South America,Caldera,38.97°S,71.52°W,2282,1240
7929,Reykjanes,Confirmed Eruption,1,Iceland,Iceland and Arctic Ocean,Crater rows,63.817°N,22.717°W,140,1240
7930,Hualalai,Confirmed Eruption,2,United States,Hawaii and Pacific Ocean,Shield,19.692°N,155.87°W,2523,1240
7931,Savai'i,Confirmed Eruption,0,Samoa,New Zealand to Fiji,Shield,13.612°S,172.525°W,1858,1240
7932,Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592,1240
