Volcano Name,Eruption Type,Start Date,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit
Ambae,Confirmed Eruption,2021 Dec 5,--,Vanuatu,Melanesia and Australia,Shield,15.389°S,167.835°E,1496
Pinatubo,Confirmed Eruption,2021 Nov 30,--,Philippines,Philippines and SE Asia,Stratovolcano,15.13°N,120.35°E,1486
Iliwerung,Confirmed Eruption,2021 Nov 28,--,Indonesia,Indonesia,Complex,8.532°S,123.573°E,583
Taal,Confirmed Eruption,2021 Nov 15,--,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311
Turrialba,Confirmed Eruption,2021 Nov 3,--,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340
Asosan,Confirmed Eruption,2021 Oct 14,--,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592
Kavachi,Confirmed Eruption,2021 Oct 2,--,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Kilauea,Confirmed Eruption,2021 Sep 29,--,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222
La Palma,Confirmed Eruption,2021 Sep 19,--,Spain,Atlantic Ocean,Stratovolcano(es),28.57°N,17.83°W,2426
Nishinoshima,Confirmed Eruption,2021 Aug 14,--,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25
Fukutoku-Oka-no-Ba,Confirmed Eruption,2021 Aug 13,--,Japan,"Japan, Taiwan, Marianas",Submarine,24.285°N,141.481°E,-29
Chirinkotan,Confirmed Eruption,2021 Aug 8,--,Russia,Kuril Islands,Stratovolcano,48.98°N,153.48°E,724
Pavlof,Confirmed Eruption,2021 Aug 5,--,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493
Pagan,Confirmed Eruption,2021 Jul 29,--,United States,"Japan, Taiwan, Marianas",Stratovolcano(es),18.13°N,145.8°E,570
Sirung,Confirmed Eruption,2021 Jul 21,--,Indonesia,Indonesia,Complex,8.508°S,124.13°E,862
Ulawun,Confirmed Eruption,2021 Jul 9,--,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Copahue,Confirmed Eruption,2021 Jul 2,--,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953
Taal,Confirmed Eruption,2021 Jul 1,--,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311
Rincon de la Vieja,Confirmed Eruption,2021 Jun 28,--,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916
Turrialba,Confirmed Eruption,2021 Jun 13,--,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340
Krakatau,Confirmed Eruption,2021 May 25,--,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155
Great Sitkin,Confirmed Eruption,2021 May 25,--,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740
Dieng Volcanic Complex,Confirmed Eruption,2021 Apr 29,--,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565
Telica,Confirmed Eruption,2021 Apr 21,--,Nicaragua,México and Central America,Stratovolcano(es),12.606°N,86.84°W,1036
Tengger Caldera,Confirmed Eruption,2021 Apr 15,--,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
"Fournaise, Piton de la",Confirmed Eruption,2021 Apr 9,--,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Krysuvik-Trolladyngja,Confirmed Eruption,2021 Mar 19,--,Iceland,Iceland and Arctic Ocean,Crater rows,63.917°N,22.067°W,360
Veniaminof,Confirmed Eruption,2021 Feb 28,--,United States,Alaska,Stratovolcano,56.17°N,159.38°W,2507
Semisopochnoi,Confirmed Eruption,2021 Feb 2,--,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221
Raung,Confirmed Eruption,2021 Jan 21,--,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260
Merapi,Confirmed Eruption,2020 Dec 31,1,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910
Soufriere St. Vincent,Confirmed Eruption,2020 Dec 27,4,Saint Vincent and the Grenadines,West Indies,Stratovolcano,13.33°N,61.18°W,1220
San Cristobal,Confirmed Eruption,2020 Dec 27,3,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
Tengger Caldera,Confirmed Eruption,2020 Dec 26,1,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Kilauea,Confirmed Eruption,2020 Dec 20,0,United States,Hawaii and Pacific Ocean,Shield,19.421°N,155.287°W,1222
"Fournaise, Piton de la",Confirmed Eruption,2020 Dec 7,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Lewotolok,Confirmed Eruption,2020 Nov 27,2,Indonesia,Indonesia,Stratovolcano,8.274°S,123.508°E,1431
Kikai,Confirmed Eruption,2020 Oct 6,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Kavachi,Confirmed Eruption,2020 Sep 2,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Kuchinoerabujima,Confirmed Eruption,2020 Aug 29,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),30.443°N,130.217°E,657
Sinabung,Confirmed Eruption,2020 Aug 8,3,Indonesia,Indonesia,Stratovolcano,3.17°N,98.392°E,2460
Telica,Confirmed Eruption,2020 Jul 20,1,Nicaragua,México and Central America,Stratovolcano(es),12.606°N,86.84°W,1036
Raung,Confirmed Eruption,2020 Jul 16,1,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260
Turrialba,Confirmed Eruption,2020 Jun 18,1,Costa Rica,México and Central America,Stratovolcano,10.025°N,83.767°W,3340
Copahue,Confirmed Eruption,2020 Jun 16,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953
Cleveland,Confirmed Eruption,2020 Jun 1,3,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730
Kikai,Confirmed Eruption,2020 Apr 29,1,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Karymsky,Confirmed Eruption,2020 Apr 1,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513
Soputan,Confirmed Eruption,2020 Mar 23,2,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785
Kavachi,Confirmed Eruption,2020 Mar 16,0,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Sarychev Peak,Confirmed Eruption,2020 Feb 29,1,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496
San Miguel,Confirmed Eruption,2020 Feb 22,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
"Fournaise, Piton de la",Confirmed Eruption,2020 Feb 10,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Rincon de la Vieja,Confirmed Eruption,2020 Jan 30,2,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916
Fernandina,Confirmed Eruption,2020 Jan 12,0,Ecuador,South America,Shield,0.37°S,91.55°W,1476
Taal,Confirmed Eruption,2020 Jan 12,4,Philippines,Philippines and SE Asia,Caldera,14.002°N,120.993°E,311
Kuchinoerabujima,Confirmed Eruption,2020 Jan 11,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),30.443°N,130.217°E,657
Whakaari/White Island,Confirmed Eruption,2019 Dec 9,2,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Semisopochnoi,Confirmed Eruption,2019 Dec 7,1,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221
Nishinoshima,Confirmed Eruption,2019 Dec 5,1,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25
Cleveland,Uncertain Eruption,2019 Nov 7,--,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730
Kikai,Confirmed Eruption,2019 Nov 2,2,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Lateiki,Confirmed Eruption,2019 Oct 13,1,Tonga,New Zealand to Fiji,Submarine,19.18°S,174.87°W,43
Asamayama,Confirmed Eruption,2019 Aug 7,2,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568
Copahue,Confirmed Eruption,2019 Aug 2,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953
Tangkuban Parahu,Confirmed Eruption,2019 Jul 26,1,Indonesia,Indonesia,Stratovolcano,6.77°S,107.6°E,2084
Shishaldin,Confirmed Eruption,2019 Jul 23,3,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857
Semisopochnoi,Confirmed Eruption,2019 Jul 16,1,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221
Ulawun,Confirmed Eruption,2019 Jun 26,4,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Ubinas,Confirmed Eruption,2019 Jun 24,2,Peru,South America,Stratovolcano,16.355°S,70.903°W,5672
Raikoke,Confirmed Eruption,2019 Jun 22,3,Russia,Kuril Islands,Stratovolcano,48.292°N,153.25°E,551
"Fournaise, Piton de la",Confirmed Eruption,2019 Jun 11,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Great Sitkin,Confirmed Eruption,2019 Jun 1,1,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740
Sarychev Peak,Confirmed Eruption,2019 May 16,2,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496
Colima,Confirmed Eruption,2019 May 11,1,Mexico,México and Central America,Stratovolcano(es),19.514°N,103.62°W,3850
Asosan,Confirmed Eruption,2019 Apr 16,2,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592
Klyuchevskoy,Confirmed Eruption,2019 Apr 9,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754
Sangay,Confirmed Eruption,2019 Mar 26,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286
San Cristobal,Confirmed Eruption,2019 Mar 4,1,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
"Fournaise, Piton de la",Confirmed Eruption,2019 Feb 18,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Tengger Caldera,Confirmed Eruption,2019 Feb 18,2,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Karymsky,Confirmed Eruption,2019 Feb 16,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513
Poas,Confirmed Eruption,2019 Feb 7,2,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697
Sinabung,Confirmed Eruption,2019 Feb 6,4,Indonesia,Indonesia,Stratovolcano,3.17°N,98.392°E,2460
Tinakula,Confirmed Eruption,2018 Dec 8,2,Solomon Islands,Melanesia and Australia,Stratovolcano,10.386°S,165.804°E,796
Karangetang,Confirmed Eruption,2018 Nov 25,2,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797
Planchon-Peteroa,Confirmed Eruption,2018 Nov 7,1,Chile,South America,Stratovolcano(es),35.223°S,70.568°W,3977
Kuchinoerabujima,Confirmed Eruption,2018 Oct 21,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),30.443°N,130.217°E,657
Gamalama,Confirmed Eruption,2018 Oct 4,1,Indonesia,Indonesia,Stratovolcano(es),0.8°N,127.33°E,1715
Soputan,Confirmed Eruption,2018 Oct 2,3,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785
Barren Island,Confirmed Eruption,2018 Sep 25,1,India,Indonesia,Stratovolcano,12.278°N,93.858°E,354
Ulawun,Confirmed Eruption,2018 Sep 21,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Ketoi,Uncertain Eruption,2018 Sep 21,1,Russia,Kuril Islands,Stratovolcano,47.35°N,152.475°E,1172
Sarychev Peak,Confirmed Eruption,2018 Sep 8,2,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496
Semisopochnoi,Confirmed Eruption,2018 Sep 8,1,United States,Alaska,Stratovolcano,51.93°N,179.58°E,1221
Veniaminof,Confirmed Eruption,2018 Sep 4,1,United States,Alaska,Stratovolcano,56.17°N,159.38°W,2507
Alaid,Confirmed Eruption,2018 Aug 20,1,Russia,Kuril Islands,Stratovolcano,50.861°N,155.565°E,2285
Sangay,Confirmed Eruption,2018 Aug 8,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286
Rincon de la Vieja,Confirmed Eruption,2018 Jul 28,1,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916
Nishinoshima,Confirmed Eruption,2018 Jul 12,1,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25
Mayotte,Confirmed Eruption,2018 Jul 3,0,France,Middle East and Indian Ocean,Shield,12.83°S,45.17°E,660
"Negra, Sierra",Confirmed Eruption,2018 Jun 26,2,Ecuador,South America,Shield,0.83°S,91.17°W,1124
Telica,Confirmed Eruption,2018 Jun 21,1,Nicaragua,México and Central America,Stratovolcano(es),12.606°N,86.84°W,1036
Krakatau,Confirmed Eruption,2018 Jun 18,3,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155
Fernandina,Confirmed Eruption,2018 Jun 16,1,Ecuador,South America,Shield,0.37°S,91.55°W,1476
Great Sitkin,Confirmed Eruption,2018 Jun 10,1,United States,Alaska,Stratovolcano,52.076°N,176.13°W,1740
Ulawun,Confirmed Eruption,2018 Jun 8,1,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Merapi,Confirmed Eruption,2018 May 11,3,Indonesia,Indonesia,Stratovolcano,7.54°S,110.446°E,2910
Karymsky,Confirmed Eruption,2018 Apr 28,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513
Marapi,Confirmed Eruption,2018 Apr 27,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
San Cristobal,Confirmed Eruption,2018 Apr 22,1,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
Kerinci,Confirmed Eruption,2018 Apr 21,1,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
Nyamulagira,Confirmed Eruption,2018 Apr 18,0,DR Congo,Africa and Red Sea,Shield,1.408°S,29.2°E,3058
"Fournaise, Piton de la",Confirmed Eruption,2018 Apr 3,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Dieng Volcanic Complex,Confirmed Eruption,2018 Apr 1,1,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565
Kirishimayama,Confirmed Eruption,2018 Mar 1,3,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700
Sangay,Confirmed Eruption,2018 Feb 25,1,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286
Karangetang,Confirmed Eruption,2018 Feb 2,1,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797
Kusatsu-Shiranesan,Confirmed Eruption,2018 Jan 23,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),36.618°N,138.528°E,2165
San Miguel,Confirmed Eruption,2018 Jan 14,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
Mayon,Confirmed Eruption,2018 Jan 13,2,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462
Kadovar,Confirmed Eruption,2018 Jan 5,2,Papua New Guinea,Melanesia and Australia,Stratovolcano,3.608°S,144.588°E,365
Kanlaon,Confirmed Eruption,2017 Dec 9,2,Philippines,Philippines and SE Asia,Stratovolcano,10.412°N,123.132°E,2435
Agung,Confirmed Eruption,2017 Nov 21,3,Indonesia,Indonesia,Stratovolcano,8.343°S,115.508°E,2997
Dempo,Confirmed Eruption,2017 Nov 9,1,Indonesia,Indonesia,Stratovolcano(es),4.016°S,103.121°E,3142
Tinakula,Confirmed Eruption,2017 Oct 21,3,Solomon Islands,Melanesia and Australia,Stratovolcano,10.386°S,165.804°E,796
Sarychev Peak,Confirmed Eruption,2017 Oct 12,2,Russia,Kuril Islands,Stratovolcano,48.092°N,153.2°E,1496
Kirishimayama,Confirmed Eruption,2017 Oct 11,2,Japan,"Japan, Taiwan, Marianas",Shield,31.934°N,130.862°E,1700
Ambae,Confirmed Eruption,2017 Sep 6,3,Vanuatu,Melanesia and Australia,Shield,15.389°S,167.835°E,1496
Fernandina,Confirmed Eruption,2017 Sep 4,2,Ecuador,South America,Shield,0.37°S,91.55°W,1476
San Cristobal,Confirmed Eruption,2017 Aug 18,3,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
Kerinci,Confirmed Eruption,2017 Aug 13,1,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
Sangay,Confirmed Eruption,2017 Jul 20,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286
Sangeang Api,Confirmed Eruption,2017 Jul 15,2,Indonesia,Indonesia,Complex,8.2°S,119.07°E,1912
"Fournaise, Piton de la",Confirmed Eruption,2017 Jul 14,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Ulawun,Confirmed Eruption,2017 Jun 11,1,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Bulusan,Confirmed Eruption,2017 Jun 5,1,Philippines,Philippines and SE Asia,Stratovolcano(es),12.769°N,124.056°E,1535
Marapi,Confirmed Eruption,2017 Jun 4,1,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
Karymsky,Confirmed Eruption,2017 Jun 4,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513
Copahue,Confirmed Eruption,2017 Jun 4,1,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953
Rincon de la Vieja,Confirmed Eruption,2017 May 23,2,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916
Karangetang,Uncertain Eruption,2017 May 10,--,Indonesia,Indonesia,Stratovolcano,2.781°N,125.407°E,1797
Dieng Volcanic Complex,Confirmed Eruption,2017 Apr 30,1,Indonesia,Indonesia,Complex,7.2°S,109.879°E,2565
Nishinoshima,Confirmed Eruption,2017 Apr 18,2,Japan,"Japan, Taiwan, Marianas",Caldera,27.247°N,140.874°E,25
Poas,Confirmed Eruption,2017 Apr 12,1,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697
"Lengai, Ol Doinyo",Confirmed Eruption,2017 Apr 9,0,Tanzania,Africa and Red Sea,Stratovolcano,2.764°S,35.914°E,2962
Kick 'em Jenny,Confirmed Eruption,2017 Mar 29,0,Grenada,West Indies,Submarine,12.3°N,61.64°W,-185
Aira,Confirmed Eruption,2017 Mar 25,1,Japan,"Japan, Taiwan, Marianas",Caldera,31.593°N,130.657°E,1117
Kambalny,Confirmed Eruption,2017 Mar 24,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,51.306°N,156.875°E,2116
Ebulobo,Uncertain Eruption,2017 Mar 12,--,Indonesia,Indonesia,Stratovolcano,8.817°S,121.191°E,2096
Krakatau,Confirmed Eruption,2017 Feb 19,1,Indonesia,Indonesia,Caldera,6.102°S,105.423°E,155
San Cristobal,Confirmed Eruption,2017 Feb 18,1,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
"Fournaise, Piton de la",Confirmed Eruption,2017 Jan 31,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Unnamed,Confirmed Eruption,2017 Jan 23,0,Tonga,New Zealand to Fiji,Submarine,20.852°S,175.55°W,-296
Barren Island,Confirmed Eruption,2017 Jan 15,2,India,Indonesia,Stratovolcano,12.278°N,93.858°E,354
San Miguel,Confirmed Eruption,2017 Jan 7,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
Bogoslof,Confirmed Eruption,2016 Dec 20,3,United States,Alaska,Submarine,53.93°N,168.03°W,150
Chirinkotan,Confirmed Eruption,2016 Nov 29,3,Russia,Kuril Islands,Stratovolcano,48.98°N,153.48°E,724
Nyamulagira,Confirmed Eruption,2016 Nov 27,0,DR Congo,Africa and Red Sea,Shield,1.408°S,29.2°E,3058
Zhupanovsky,Confirmed Eruption,2016 Nov 20,2,Russia,Kamchatka and Mainland Asia,Compound,53.589°N,159.15°E,2899
Kerinci,Confirmed Eruption,2016 Nov 15,1,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
Sabancaya,Confirmed Eruption,2016 Nov 6,3,Peru,South America,Stratovolcano(es),15.787°S,71.857°W,5960
Ebeko,Confirmed Eruption,2016 Oct 20,2,Russia,Kuril Islands,Stratovolcano,50.686°N,156.014°E,1103
Ulawun,Confirmed Eruption,2016 Oct 11,1,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Asosan,Confirmed Eruption,2016 Oct 7,3,Japan,"Japan, Taiwan, Marianas",Caldera,32.884°N,131.104°E,1592
Karymsky,Confirmed Eruption,2016 Oct 5,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,54.049°N,159.443°E,1513
"Lengai, Ol Doinyo",Confirmed Eruption,2016 Sep 21,--,Tanzania,Africa and Red Sea,Stratovolcano,2.764°S,35.914°E,2962
Whakaari/White Island,Confirmed Eruption,2016 Sep 13,1,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Ubinas,Confirmed Eruption,2016 Sep 13,2,Peru,South America,Stratovolcano,16.355°S,70.903°W,5672
"Fournaise, Piton de la",Confirmed Eruption,2016 Sep 11,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Gamalama,Confirmed Eruption,2016 Aug 3,1,Indonesia,Indonesia,Stratovolcano(es),0.8°N,127.33°E,1715
Rinjani,Confirmed Eruption,2016 Aug 1,2,Indonesia,Indonesia,Stratovolcano,8.42°S,116.47°E,3726
Chikurachki,Confirmed Eruption,2016 Jul 27,2,Russia,Kuril Islands,Stratovolcano(es),50.324°N,155.461°E,1781
San Miguel,Confirmed Eruption,2016 Jun 18,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
Bulusan,Confirmed Eruption,2016 Jun 10,2,Philippines,Philippines and SE Asia,Stratovolcano(es),12.769°N,124.056°E,1535
Poas,Confirmed Eruption,2016 Jun 5,1,Costa Rica,México and Central America,Stratovolcano,10.2°N,84.233°W,2697
"Fournaise, Piton de la",Confirmed Eruption,2016 May 26,0,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Whakaari/White Island,Confirmed Eruption,2016 Apr 27,1,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Bristol Island,Confirmed Eruption,2016 Apr 24,1,United Kingdom,Antarctica,Stratovolcano,59.017°S,26.533°W,1100
San Cristobal,Confirmed Eruption,2016 Apr 22,2,Nicaragua,México and Central America,Stratovolcano,12.702°N,87.004°W,1745
Cleveland,Confirmed Eruption,2016 Apr 16,2,United States,Alaska,Stratovolcano,52.825°N,169.944°W,1730
Kerinci,Confirmed Eruption,2016 Mar 31,2,Indonesia,Indonesia,Stratovolcano,1.697°S,101.264°E,3800
Zavodovski,Confirmed Eruption,2016 Mar 30,1,United Kingdom,Antarctica,Stratovolcano,56.3°S,27.57°W,551
Chikurachki,Confirmed Eruption,2016 Mar 29,2,Russia,Kuril Islands,Stratovolcano(es),50.324°N,155.461°E,1781
Pavlof,Confirmed Eruption,2016 Mar 27,2,United States,Alaska,Stratovolcano,55.417°N,161.894°W,2493
Sangay,Confirmed Eruption,2016 Mar 25,2,Ecuador,South America,Stratovolcano,2.005°S,78.341°W,5286
Bulusan,Confirmed Eruption,2016 Feb 22,2,Philippines,Philippines and SE Asia,Stratovolcano(es),12.769°N,124.056°E,1535
San Miguel,Confirmed Eruption,2016 Jan 12,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
"Chillan, Nevados de",Confirmed Eruption,2016 Jan 8,2,Chile,South America,Stratovolcano,36.868°S,71.378°W,3180
Soputan,Confirmed Eruption,2016 Jan 2,3,Indonesia,Indonesia,Stratovolcano,1.112°N,124.737°E,1785
Momotombo,Confirmed Eruption,2015 Dec 1,2,Nicaragua,México and Central America,Stratovolcano,12.423°N,86.539°W,1270
Kanlaon,Confirmed Eruption,2015 Nov 24,2,Philippines,Philippines and SE Asia,Stratovolcano,10.412°N,123.132°E,2435
Marapi,Confirmed Eruption,2015 Nov 14,1,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
Tengger Caldera,Confirmed Eruption,2015 Nov 12,2,Indonesia,Indonesia,Stratovolcano(es),7.942°S,112.95°E,2329
Lascar,Confirmed Eruption,2015 Oct 30,2,Chile,South America,Stratovolcano(es),23.37°S,67.73°W,5592
Rinjani,Confirmed Eruption,2015 Oct 25,2,Indonesia,Indonesia,Stratovolcano,8.42°S,116.47°E,3726
Langila,Confirmed Eruption,2015 Oct 22,2,Papua New Guinea,Melanesia and Australia,Complex,5.525°S,148.42°E,1330
Masaya,Confirmed Eruption,2015 Oct 3,1,Nicaragua,México and Central America,Caldera,11.985°N,86.165°W,594
Tofua,Confirmed Eruption,2015 Oct 2,0,Tonga,New Zealand to Fiji,Caldera,19.75°S,175.07°W,515
Alaid,Confirmed Eruption,2015 Sep 29,1,Russia,Kuril Islands,Stratovolcano,50.861°N,155.565°E,2285
Telica,Confirmed Eruption,2015 Sep 23,2,Nicaragua,México and Central America,Stratovolcano(es),12.606°N,86.84°W,1036
Copahue,Confirmed Eruption,2015 Sep 18,2,Chile-Argentina,South America,Stratovolcano,37.856°S,71.183°W,2953
Lokon-Empung,Confirmed Eruption,2015 Aug 30,1,Indonesia,Indonesia,Stratovolcano(es),1.358°N,124.792°E,1580
Klyuchevskoy,Confirmed Eruption,2015 Aug 28,3,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754
Cotopaxi,Confirmed Eruption,2015 Aug 14,2,Ecuador,South America,Stratovolcano,0.677°S,78.436°W,5911
San Miguel,Confirmed Eruption,2015 Aug 13,1,El Salvador,México and Central America,Stratovolcano,13.434°N,88.269°W,2130
Kick 'em Jenny,Confirmed Eruption,2015 Jul 23,0,Grenada,West Indies,Submarine,12.3°N,61.64°W,-185
Gamalama,Confirmed Eruption,2015 Jul 16,2,Indonesia,Indonesia,Stratovolcano(es),0.8°N,127.33°E,1715
Sirung,Confirmed Eruption,2015 Jul 7,1,Indonesia,Indonesia,Complex,8.508°S,124.13°E,862
Hakoneyama,Confirmed Eruption,2015 Jun 29,1,Japan,"Japan, Taiwan, Marianas",Complex,35.233°N,139.021°E,1438
Sabancaya,Confirmed Eruption,2015 Jun 28,1,Peru,South America,Stratovolcano(es),15.787°S,71.857°W,5960
Ciremai,Uncertain Eruption,2015 Jun 24,--,Indonesia,Indonesia,Stratovolcano,6.895°S,108.408°E,3039
"Lengai, Ol Doinyo",Confirmed Eruption,2015 Jun 20,0,Tanzania,Africa and Red Sea,Stratovolcano,2.764°S,35.914°E,2962
Asamayama,Confirmed Eruption,2015 Jun 16,1,Japan,"Japan, Taiwan, Marianas",Complex,36.406°N,138.523°E,2568
Rincon de la Vieja,Confirmed Eruption,2015 Jun 16,1,Costa Rica,México and Central America,Complex,10.83°N,85.324°W,1916
Pacaya,Confirmed Eruption,2015 Jun 7,1,Guatemala,México and Central America,Complex,14.382°N,90.601°W,2569
Kuchinoerabujima,Confirmed Eruption,2015 May 29,3,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),30.443°N,130.217°E,657
Wolf,Confirmed Eruption,2015 May 25,4,Ecuador,South America,Shield,0.02°N,91.35°W,1710
