Volcano Name,Eruption Type,Start Date,Max. VEI,Country,Volcanic_Region,Volcano_type,Latitude,Longitude,Summit
Sabancaya,Confirmed Eruption,2000 Apr 16,2,Peru,South America,Stratovolcano(es),15.787°S,71.857°W,5960
Toya,Confirmed Eruption,2000 Mar 31,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano,42.544°N,140.839°E,733
Galeras,Confirmed Eruption,2000 Mar 21,1,Colombia,South America,Complex,1.22°N,77.37°W,4276
Mutnovsky,Confirmed Eruption,2000 Mar 17,2,Russia,Kamchatka and Mainland Asia,Complex,52.449°N,158.196°E,2288
Bezymianny,Confirmed Eruption,2000 Mar 14,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,55.972°N,160.595°E,2882
Marapi,Confirmed Eruption,2000 Mar 11,2,Indonesia,Indonesia,Complex,0.38°S,100.474°E,2885
Heard,Confirmed Eruption,2000 Mar 7,2,Australia,Middle East and Indian Ocean,Stratovolcano,53.106°S,73.513°E,2745
Whakaari/White Island,Confirmed Eruption,2000 Mar 7,3,New Zealand,New Zealand to Fiji,Stratovolcano(es),37.52°S,177.18°E,294
Tinakula,Confirmed Eruption,2000 Feb 29,1,Solomon Islands,Melanesia and Australia,Stratovolcano,10.386°S,165.804°E,796
Bagana,Confirmed Eruption,2000 Feb 28,2,Papua New Guinea,Melanesia and Australia,Lava cone,6.137°S,155.196°E,1855
Hekla,Confirmed Eruption,2000 Feb 26,3,Iceland,Iceland and Arctic Ocean,Stratovolcano,63.983°N,19.666°W,1490
Suwanosejima,Confirmed Eruption,2000 Feb 24,2,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),29.638°N,129.714°E,796
"Fournaise, Piton de la",Confirmed Eruption,2000 Feb 14,1,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Klyuchevskoy,Confirmed Eruption,2000 Feb 3,2,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.056°N,160.642°E,4754
Nyamulagira,Confirmed Eruption,2000 Jan 27,2,DR Congo,Africa and Red Sea,Shield,1.408°S,29.2°E,3058
Kita-Ioto,Uncertain Eruption,2000 Jan 25,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,25.424°N,141.284°E,792
Barren Island,Uncertain Eruption,2000 Jan 16,1,India,Indonesia,Stratovolcano,12.278°N,93.858°E,354
Kikai,Confirmed Eruption,2000 Jan 16,2,Japan,"Japan, Taiwan, Marianas",Caldera,30.793°N,130.305°E,704
Concepcion,Confirmed Eruption,1999 Dec 27,1,Nicaragua,México and Central America,Stratovolcano,11.538°N,85.622°W,1700
Masaya,Confirmed Eruption,1999 Nov 22,1,Nicaragua,México and Central America,Caldera,11.985°N,86.165°W,594
Kavachi,Confirmed Eruption,1999 Nov 16,1,Solomon Islands,Melanesia and Australia,Submarine,8.991°S,157.979°E,-20
Ulawun,Confirmed Eruption,1999 Oct 20,1,Papua New Guinea,Melanesia and Australia,Stratovolcano,5.05°S,151.33°E,2334
Moyorodake [Medvezhia],Confirmed Eruption,1999 Oct 7,1,Japan - administered by Russia,Kuril Islands,Stratovolcano,45.389°N,148.838°E,1124
Tungurahua,Confirmed Eruption,1999 Oct 5,3,Ecuador,South America,Stratovolcano,1.467°S,78.442°W,5023
Shishaldin,Uncertain Eruption,1999 Sep 25,1,United States,Alaska,Stratovolcano,54.756°N,163.97°W,2857
Ioto,Confirmed Eruption,1999 Sep 10,1,Japan,"Japan, Taiwan, Marianas",Caldera,24.751°N,141.289°E,169
Fukutoku-Oka-no-Ba,Uncertain Eruption,1999 Sep 8,0,Japan,"Japan, Taiwan, Marianas",Submarine,24.285°N,141.481°E,-29
Kita-Ioto,Uncertain Eruption,1999 Sep 7,0,Japan,"Japan, Taiwan, Marianas",Stratovolcano,25.424°N,141.284°E,792
Sheveluch,Confirmed Eruption,1999 Aug 15,4,Russia,Kamchatka and Mainland Asia,Stratovolcano,56.653°N,161.36°E,3283
"Negro, Cerro",Confirmed Eruption,1999 Aug 5,2,Nicaragua,México and Central America,Pyroclastic cone(s),12.506°N,86.702°W,728
Raung,Confirmed Eruption,1999 Jul 30,2,Indonesia,Indonesia,Stratovolcano,8.119°S,114.056°E,3260
"Fournaise, Piton de la",Confirmed Eruption,1999 Jul 19,1,France,Middle East and Indian Ocean,Shield,21.244°S,55.708°E,2632
Katla,Uncertain Eruption,1999 Jul 17,0,Iceland,Iceland and Arctic Ocean,Subglacial,63.633°N,19.083°W,1490
Ijen,Confirmed Eruption,1999 Jun 28,1,Indonesia,Indonesia,Stratovolcano(es),8.058°S,114.242°E,2769
Mayon,Confirmed Eruption,1999 Jun 22,3,Philippines,Philippines and SE Asia,Stratovolcano,13.257°N,123.685°E,2462
Suwanosejima,Confirmed Eruption,1999 Jun 15,1,Japan,"Japan, Taiwan, Marianas",Stratovolcano(es),29.638°N,129.714°E,796
Monowai,Confirmed Eruption,1999 Jun 6,0,New Zealand,New Zealand to Fiji,Submarine,25.887°S,177.188°W,-132
Iliwerung,Confirmed Eruption,1999 May 22,0,Indonesia,Indonesia,Complex,8.532°S,123.573°E,583
